Year,Population,Male,Female,Birth Coef,Total number of Birth,Death Coef,Total Number of Death,Death Coef(Child),Number of Arrivals,Number of Deaprtures,Migration Difference,Total Migration Difference,Average selling prices of new housing(1tg for m2),Average resale prices of apartments(1tg for m2),Average rental prices for comfortable housing(1tg for m2),The total area of commissioned residential buildings(x1000m2),Average salary,Amount of Students,Amount of Universities,Amount of industry enterprices,Price percentage of products and services
2009,1361877,625644,736233,18.48,25433,8.1,11148,16.31,2886,2795,91,14448,239659.0,201008.0,1859.0,1050,95139,187176,52,1566,108.7
2010,1390610,637764,752846,18.21,25535,8.44,11826,17.08,2894,2524,370,8833,237391.0,197138.0,1900.0,1056,106597,186499,52,1441,107.4
2011,1413152,646872,766280,17.6,25195,8.0,11446,17.05,3167,3046,121,22465,239129.0,203921.0,1909.0,775,121674,183152,47,1414,108.5
2012,1449366,660748,788618,18.36,26838,7.68,11230,12.6,2789,2935,-146,9875,244443.0,207894.0,2048.0,786,134378,158467,45,1451,105.0
2013,1474849,671973,802876,18.32,27311,7.26,10819,10.5,1848,2039,-191,15558,256405.0,244456.0,2256.0,832,142310,148491,43,1407,105.9
2014,1506899,686681,820218,19.15,29672,7.13,11049,8.27,1816,2413,-597,21992,292598.0,287412.0,2473.0,1331,155242,133736,40,1392,106.2
2015,1641444,750417,891027,18.63,31159,6.33,10579,8.99,1707,2880,-1173,40742,306593.0,350642.0,2597.0,1374,161845,128707,42,1435,106.4
2016,1702766,778823,923943,18.36,31704,6.25,10794,7.58,1783,3719,-1936,27632,304511.0,337340.0,2328.0,1863,178678,130761,40,1384,115.4
2017,1751308,800421,950887,17.69,31423,6.15,10935,6.93,1731,3535,-1804,30197,321266.0,339990.0,2250.0,1902,190875,131292,40,1385,107.1
2018,1801993,822587,979406,18.19,33259,6.39,11678,8.36,1449,3545,-2096,31082,327367.0,344321.0,2265.0,2006,200919,143860,41,1477,106.1
2019,1854656,847273,1007383,18.19,34308,6.49,12240,8.05,1403,3622,-2219,40098,357208.0,366638.0,2332.0,2103,224158,162680,41,1629,105.0
2020,1916822,879675,1037147,18.25,35526,7.42,14440,7.64,1690,2650,-960,39350,360101.0,371368.0,2344.0,2401,247951,163357,41,1661,106.7
2021,1977258,907051,1070207,18.97,37922,9.12,18220,10.48,1882,3234,-1352,27901,415145.0,437775.0,3296.0,2632,295985,172224,42,1749,107.6
2022,2101485,976659,1124826,16.94,36110,5.73,12221,5.03,3286,2060,1226,36528,460542.0,514277.0,5619.0,1914,354860,177568,39,1752,114.8
